X	Y	Z	Ni(%)			
1869.19	816	36.88	0.354
1869.19	816	36.18	0.323
1869.19	816	35.13	0.417
1869.19	816	33.73	0.478
1869.19	816	32.53	0.447
1869.19	816	31.58	0.432
1869.19	816	30.63	0.546
1869.19	816	30.03	0.931
1869.19	816	29.36	0.494
1057.56	1348	28.26	0.699
1057.69	1348	27.29	0.629
1057.38	1347	26.07	0.71
1057.5	1347	25.1	1.03
1057.56	1347	24.12	1.615
1057.69	1347	23.15	0.773
1057.75	1347	22.17	0.731
1057.88	1347	21.2	1.745
1058	1347	20.23	1.125
1057.75	1346	19.01	1.065
1057.88	1346	18.03	1.7
1057.94	1346	17.06	0.983
1161.44	1173	37.24	0.49
1161.44	1173	36.24	0.547
1161.44	1173	35.24	0.79
1161.44	1173	34.24	0.946
1161.44	1173	33.24	1.015
1161.44	1173	32.24	0.632
1161.44	1173	31.24	0.696
1161.44	1173	30.24	0.921
1161.44	1173	24.24	1.015
1161.44	1173	23.24	0.8
1161.44	1173	22.24	0.653
1161.44	1173	21.24	0.794
1161.44	1173	20.24	1.22
1161.44	1173	19.24	1.92
1161.44	1173	18.24	2.02
1161.44	1173	17.24	2.09
408.56	525	97.98	0.49
408.56	525	96.98	0.43
408.56	525	95.98	0.56
408.56	525	94.98	0.44
408.56	525	93.98	0.31
408.56	525	86.98	0.29
408.56	525	85.98	0.37
408.56	525	84.98	0.3
408.56	525	83.98	0.26
408.56	525	82.98	0.28
408.56	525	81.98	0.26
408.56	525	78.98	0.29
408.56	525	77.98	0.32
408.56	525	76.98	0.31
408.56	525	75.98	0.35
408.56	525	74.98	0.36
408.56	525	73.98	0.34
408.56	525	72.98	0.45
408.56	525	71.98	0.75
408.56	525	70.98	0.53
408.56	525	69.98	0.47
408.56	525	68.98	0.44
408.56	525	67.98	0.29
408.56	525	66.98	0.37
408.56	525	65.98	0.5
408.56	525	64.98	0.55
408.56	525	63.98	1.08
408.56	525	62.98	0.34
408.56	525	61.98	0.5
408.56	525	60.98	0.83
408.56	525	59.98	0.25
408.56	525	58.98	0.54
408.56	525	34.98	0.62
408.56	525	33.98	0.61
408.56	525	32.98	0.5
1832.63	408	42.35	0.73
1832.63	408	41.35	0.32
1832.63	408	40.35	0.34
1832.63	408	39.35	0.32
1832.63	408	38.35	0.35
1832.63	408	37.35	0.32
1832.63	408	36.35	0.34
1832.63	408	35.35	0.38
1832.63	408	34.35	0.33
1832.63	408	33.35	0.36
1832.63	408	32.35	0.39
